2025-04-19 21:31:16,429 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,435 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,438 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,444 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,480 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,486 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,488 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,493 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,530 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,535 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,537 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,543 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,580 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,718 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,739 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,740 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,746 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,753 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/9999 "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,760 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,762 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,763 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/?skip=0&limit=5 "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,769 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,775 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,780 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,786 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,791 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,798 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,801 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,803 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,809 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,811 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/1 "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,813 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,815 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,821 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,823 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,860 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,867 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,869 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,874 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,877 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,883 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,920 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,925 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,927 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,933 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,969 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,975 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,977 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:27,982 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:28,019 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,015 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,036 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,038 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,043 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,047 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/9999 "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,052 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,053 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,055 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/?skip=0&limit=5 "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,060 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,065 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,069 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,075 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,080 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,086 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,088 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,090 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,095 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,097 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/1 "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,098 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,100 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,106 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,107 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,146 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,152 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,154 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,160 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,162 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,167 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,202 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,208 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,210 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,216 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,251 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,256 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,258 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,264 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:08,299 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:26,546 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 201 Created"
2025-04-19 21:32:26,551 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 400 Bad Request"
2025-04-19 21:32:26,554 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 400 Bad Request"
2025-04-19 21:32:26,558 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 400 Bad Request"
2025-04-19 21:32:26,592 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/9999 "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:26,598 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 400 Bad Request"
2025-04-19 21:32:26,647 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 201 Created"
2025-04-19 21:32:26,649 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/?skip=0&limit=5 "HTTP/1.1 401 Unauthorized"
2025-04-19 21:32:26,656 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 400 Bad Request"
2025-04-19 21:32:26,663 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 400 Bad Request"
2025-04-19 21:32:26,670 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 400 Bad Request"
2025-04-19 21:32:26,677 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 400 Bad Request"
2025-04-19 21:32:26,722 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 200 OK"
